,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
4285,Cereal (General Mills Raisin Nut Bran),Cereal (General Mills Raisin Nut Bran),57332100,1,4,0,80.0,0,24.3,12.2,177,0,10.19,8.19,0,0.89,7.0,28.5,0.8,4.03,2.0,2.0,1.0,5.3,41,0.355,9.19,65,204,357,440,7.69,0,3.09,1.02,0.3,1.91,2.8
4286,Cereal (General Mills Reese's Puffs),Cereal (General Mills Reese's Puffs),57335550,27,41,0,75.6,0,18.4,4.7,577,0,17.2,6.8,490,1.5,6.5,35.3,1.3,2.6,4.7,3.7,2.1,11.1,345,0.229,15.5,55,207,244,555,12.9,495,5.2,1.724,20.7,23.64,1.8
4287,Cereal (General Mills Chex Rice),Cereal (General Mills Chex Rice),57336000,0,0,0,85.09,0,17.5,2.0,0,0,18.5,6.4,556,1.6,19.6,8.0,1.39,2.59,0.6,0.69,0.5,1.89,370,0.26,33.29,30,148,188,809,13.89,556,5.59,1.85,22.2,0.35,1.0
4289,Cereal (Kellogg's Rice Krispies),Cereal (Kellogg's Rice Krispies),57339000,0,0,0,85.05,0,6.0,0.4,0,0,17.967,6.75,1136,1.29,19.6,9.87,1.77,5.06,0.593,0.626,0.458,2.05,5,0.186,30.42,27,125,125,527,1.39,1136,7.23,2.35,63.3,26.64,0.0
4290,Cereal (Kellogg's Rice Krispies Treats Cereal),Cereal (Kellogg's Rice Krispies Treats Cereal),57339500,0,0,0,85.59,1,2.5,0.4,0,0,16.7,4.3,500,1.41,5.7,29.6,1.25,3.5,1.2,0.2,0.89,4.19,10,0.107,6.0,21,62,51,567,0.69,500,5.0,1.66,20.0,0.36,1.0
4292,Cereal (Kellogg's Smart Start Strong),Cereal (Kellogg's Smart Start Strong),57341200,0,150,0,86.8,0,14.9,5.4,80,0,40.0,7.5,675,3.4,28.7,27.79,3.0,2.5,0.1,0.5,0.3,1.5,29,0.263,36.0,29,131,182,398,30.0,688,12.0,4.0,30.0,27.0,1.1
4293,Cereal (Kellogg's Smorz),Cereal (Kellogg's Smorz),57341300,0,0,0,87.2,0,4.5,3.8,0,0,17.637,3.34,1324,1.499,6.5,43.7,1.323,3.42,2.079,0.231,0.961,3.5,70,0.24,15.87,36,141,176,534,0.56,1324,5.29,1.764,52.9,0.11,0.6
4294,Cereal (Kellogg's Special K),Cereal (Kellogg's Special K),57344000,0,0,0,73.4,0,11.0,1.4,0,0,22.6,17.79,500,1.91,54.9,12.69,1.69,3.0,0.3,0.4,0.4,1.79,23,0.179,28.0,12,48,53,667,0.69,500,19.4,6.44,68.0,15.3,0.1
4295,Cereal (Kellogg's Special K Blueberry),Cereal (Kellogg's Special K Blueberry),57344001,2,11,2,86.3,0,16.8,8.6,140,0,23.3,6.9,744,1.98,25.9,26.7,1.75,3.5,0.1,0.5,0.4,1.5,18,0.338,27.0,55,164,204,481,1.3,745,7.0,2.33,70.0,0.0,5.3
4296,Cereal (Kellogg's Special K Chocolatey Delight),Cereal (Kellogg's Special K Chocolatey Delight),57344005,0,2,0,81.2,0,28.5,10.6,83,0,22.6,6.5,725,1.92,31.6,29.9,1.69,3.0,0.2,0.6,6.3,7.3,18,0.38,26.1,61,175,272,582,1.4,725,6.8,2.26,68.0,0.53,1.8
4297,Cereal (Kellogg's Special K Red Berries),Cereal (Kellogg's Special K Red Berries),57344010,0,3,0,87.09,0,14.3,8.5,66,0,22.6,6.3,498,1.91,13.0,29.7,1.69,3.0,0.3,0.5,0.3,1.29,24,0.246,26.1,59,166,229,619,1.29,499,6.8,2.25,68.0,15.3,1.2
4298,Cereal (Kellogg's Special K Fruit & Yogurt),Cereal (Kellogg's Special K Fruit & Yogurt),57344015,0,2,0,85.3,0,18.2,8.1,82,0,21.9,7.1,702,1.86,29.5,32.1,1.64,3.0,0.1,0.3,1.4,2.9,27,0.313,25.3,51,157,188,452,1.2,702,6.6,2.19,66.0,0.0,1.2
4299,Cereal (Kellogg's Special K Vanilla Almond),Cereal (Kellogg's Special K Vanilla Almond),57344020,0,2,0,83.0,0,17.4,9.6,73,0,23.29,7.8,749,1.98,28.5,29.2,1.75,3.0,2.0,1.1,0.4,4.0,34,0.279,27.0,74,204,254,559,1.6,749,7.0,2.32,70.0,1.64,0.7
4300,Cereal (Kellogg's Special K Cinnamon Pecan),Cereal (Kellogg's Special K Cinnamon Pecan),57344025,0,0,0,81.2,0,18.7,10.3,85,0,23.3,7.5,750,1.98,29.2,24.0,1.75,3.0,2.8,2.1,0.7,6.0,30,0.312,27.0,67,191,267,650,1.5,750,7.0,2.33,70.0,0.44,0.9
4301,Cereal (Kellogg's Corn Pops),Cereal (Kellogg's Corn Pops),57347000,39,60,0,89.7,0,7.1,8.4,1066,0,16.7,4.8,460,1.42,6.5,31.3,1.25,3.0,0.2,0.5,0.5,1.3,7,0.083,6.0,28,52,113,357,5.0,467,5.0,1.67,20.0,0.12,0.0
4303,Cereal (Kellogg's Frosted Flakes),Cereal (Kellogg's Frosted Flakes),57349000,5,21,40,89.2,0,1.9,2.2,676,0,27.667,3.96,446,1.73,3.3,35.43,1.903,4.18,0.265,0.669,0.451,1.68,3,0.039,26.7,8,47,76,468,0.15,450,8.1,3.573,24.2,0.07,0.2
4304,Cereal (Post Golden Crisp),Cereal (Post Golden Crisp),57355000,0,2,0,90.1,0,13.8,5.0,92,0,18.5,5.5,832,1.6,48.6,53.6,1.4,1.4,0.6,0.6,0.2,1.7,15,0.2,6.7,59,227,176,95,5.6,832,5.6,1.9,0.0,0.33,0.9
4306,Cereal (General Mills Trix),Cereal (General Mills Trix),57407100,41,62,0,86.19,0,10.7,3.9,951,0,18.79,4.9,662,1.89,6.5,32.0,1.6,1.89,1.79,1.39,0.5,3.79,313,0.117,16.89,25,188,162,500,14.1,669,4.69,2.18,18.8,0.5,1.3
4307,Cereal (Uncle Sam),Cereal (Uncle Sam),57408100,0,0,0,65.78,0,49.5,20.3,331,0,4.803,15.98,0,0.127,88.3,1.56,0.679,4.43,1.419,5.987,0.946,11.6,95,0.752,4.03,206,374,446,206,3.87,0,0.0,0.956,2.4,0.9,1.8
4308,Cereal (General Mills Chex Wheat),Cereal (General Mills Chex Wheat),57411000,0,5,0,82.2,0,28.5,12.2,191,0,10.6,9.8,317,0.9,5.0,10.3,0.8,2.5,0.3,1.0,0.4,1.8,213,0.397,30.6,85,319,369,570,11.2,317,3.2,1.064,12.8,0.68,1.8
4309,Wheat germ,"Wheat germ, plain",57412000,0,62,0,49.6,0,178.6,15.1,790,0,5.59,29.1,0,0.82,65.0,7.8,1.67,5.6,1.5,6.62,1.83,10.7,45,0.62,9.09,320,1146,947,4,16.67,5,0.0,0.978,6.0,15.99,4.0
4312,Cereal (Post Shredded Wheat),Cereal (Post Shredded Wheat),57417000,0,0,0,80.18,0,23.1,12.4,88,0,5.95,11.58,0,0.09,4.4,0.92,0.285,4.55,0.295,1.26,0.405,2.06,57,0.357,2.56,132,380,384,2,2.97,0,0.0,0.155,0.0,0.32,1.4
4313,Cereal (General Mills Wheaties),Cereal (General Mills Wheaties),57418000,0,4,0,83.3,0,32.9,10.1,178,0,37.0,8.3,553,3.1,4.7,15.2,2.8,2.6,0.4,1.2,0.5,2.3,74,0.267,33.3,89,296,328,732,27.8,554,11.1,3.704,22.2,0.64,1.7
4314,Wheat bran,"Wheat bran, unprocessed",57601100,0,6,0,64.51,0,74.4,42.8,240,0,13.578,15.55,0,0.577,77.6,0.41,0.523,9.89,0.637,2.212,0.63,4.25,73,0.998,10.57,611,1013,1182,2,7.27,0,0.0,1.303,0.0,1.49,1.9
4315,Oats,"Oats, raw",57602100,0,0,0,67.7,0,40.4,10.1,180,0,1.125,13.15,0,0.155,28.9,0.99,0.46,10.84,1.98,2.3,1.11,6.52,52,0.391,4.25,138,410,362,6,3.64,0,0.0,0.1,0.0,0.42,2.0
4316,Oat bran,"Oat bran, uncooked",57602500,0,0,0,66.22,0,32.2,15.4,180,0,0.934,17.3,0,0.22,45.2,1.45,1.17,6.55,2.376,2.766,1.328,7.03,58,0.403,5.41,235,734,566,4,3.11,0,0.0,0.165,0.0,1.01,3.2
4317,Barley cereal,"Barley cereal, baby food, dry, instant",57801000,0,0,0,69.4,0,45.4,6.6,170,0,14.28,13.2,0,1.07,30.2,13.2,0.892,6.8,1.45,3.859,0.894,6.6,643,0.467,48.21,115,333,467,33,3.13,0,3.57,0.714,0.0,5.0,2.3
4318,Mixed cereal,"Mixed cereal, baby food, dry, instant",57803000,0,0,0,78.21,0,23.2,6.7,148,0,15.0,6.66,0,1.333,25.9,26.66,1.166,6.7,1.206,1.697,0.769,6.66,800,0.334,30.0,100,333,467,33,10.66,0,5.0,1.166,58.3,4.21,1.5
4319,Oatmeal cereal,"Oatmeal cereal, baby food, dry, instant",57804000,0,0,0,73.48,0,27.0,7.3,185,0,21.348,10.99,0,1.586,23.4,11.67,1.431,4.56,1.564,1.748,0.841,6.36,1160,0.419,64.1,110,506,549,21,12.68,0,4.6,0.853,0.0,12.23,1.4
4320,Rice cereal,"Rice cereal, baby food, dry, instant",57805000,0,0,0,83.14,0,18.0,1.3,0,0,23.006,6.65,0,1.459,5.0,4.85,1.195,5.13,0.42,0.784,0.234,2.19,860,0.231,53.01,37,273,281,32,10.92,0,4.6,0.885,2.4,5.0,0.5
4321,Rice cereal with apples,"Rice cereal with apples, baby food, dry, instant",57805080,0,4,3,86.89,0,10.1,3.0,8,0,20.0,6.7,0,1.5,11.6,3.22,1.3,3.2,0.615,0.92,0.503,2.4,850,0.373,37.0,15,423,410,16,1.4,0,0.0,0.09,0.0,0.22,1.5
4322,Rice cereal with mixed fruits,"Rice cereal with mixed fruits, baby food, dry, instant",57805090,0,0,0,88.5,0,6.6,2.6,1,0,25.24,6.6,0,1.88,16.3,1.35,1.6,2.0,0.252,0.231,0.185,0.9,38,0.377,9.0,37,253,414,2,3.3,0,0.0,0.09,250.0,0.13,0.3
4323,Rice cereal with bananas,"Rice cereal with bananas, baby food, dry, instant",57805100,11,12,0,79.9,0,25.8,1.0,39,0,23.32,8.7,0,3.8,11.6,16.7,3.97,4.7,0.986,1.503,0.978,4.2,691,0.254,47.5,141,410,769,0,1.5,1,0.0,0.686,2.0,0.37,3.8
4324,Brown rice cereal,"Brown rice cereal, baby food, dry, instant",57805500,0,0,0,85.98,0,33.4,6.5,0,0,16.0,8.7,0,0.17,23.4,0.72,0.93,1.0,1.085,1.072,0.61,3.0,55,0.368,47.6,28,272,386,12,0.0,0,0.0,0.98,0.0,0.65,0.7
4325,Mixed cereal with bananas,"Mixed cereal with bananas, baby food, dry, instant",57806000,49,51,0,77.1,0,28.6,7.8,96,0,20.56,10.7,0,3.56,20.0,6.68,3.78,4.5,1.223,1.734,0.846,4.6,696,0.256,47.5,90,367,668,0,1.4,6,0.24,0.408,3.6,0.51,3.5
4326,Multigrain,"Multigrain, whole grain cereal, baby food, dry, instant",57806050,0,0,0,80.06,0,27.1,6.7,64,0,15.0,6.67,0,1.33,31.7,26.67,1.166,4.58,1.291,2.596,1.058,6.67,800,0.225,30.0,95,333,467,33,10.67,0,4.69,1.166,58.3,4.22,7.0
4327,Oatmeal cereal with bananas,"Oatmeal cereal with bananas, baby food, dry, instant",57806100,0,0,0,78.07,0,28.7,5.2,157,0,13.0,6.67,0,1.0,20.5,26.66,0.833,4.7,1.429,2.186,1.267,6.67,800,0.391,45.0,118,267,600,33,1.9,0,3.33,0.66,58.3,5.0,3.0
4328,Oatmeal cereal with fruit,"Oatmeal cereal with fruit, baby food, dry, instant, toddler",57806200,12,41,13,74.1,0,31.6,7.8,32,0,9.6,10.5,0,0.86,20.5,11.09,0.75,5.4,3.008,2.29,1.572,7.05,286,0.34,14.3,107,429,346,0,5.7,4,0.0,0.38,2.7,2.48,7.5
4329,Whole wheat cereal with apples,"Whole wheat cereal with apples, baby food, dry, instant",57807010,0,0,0,83.2,0,42.1,6.7,203,0,13.33,6.6,0,1.0,64.7,26.66,0.33,1.7,1.277,1.866,0.639,4.8,600,0.62,45.0,140,200,500,66,2.6,0,3.33,0.66,58.3,5.0,8.3
4332,Mixed cereal with applesauce and bananas,"Mixed cereal with applesauce and bananas, baby food, jarred",57822000,0,0,0,18.58,0,3.5,1.0,10,0,2.02,0.71,0,0.156,2.6,11.1,0.126,79.8,0.122,0.172,0.081,0.51,91,0.055,6.81,7,29,111,5,1.01,0,0.51,0.101,15.9,0.68,0.3
4333,Oatmeal with applesauce and bananas,"Oatmeal with applesauce and bananas, baby food, jarred",57823000,0,0,0,15.82,0,4.1,0.9,54,0,1.77,0.89,0,0.133,3.0,8.85,0.111,82.0,0.216,0.253,0.126,0.89,6,0.074,7.5,11,41,97,4,7.5,0,0.22,0.089,13.9,0.59,1.4
4334,Rice cereal with applesauce and bananas,"Rice cereal with applesauce and bananas, baby food, jarred",57824000,0,9,7,17.1,0,1.9,1.0,4,0,4.017,1.2,0,0.422,2.1,2.24,0.26,81.0,0.104,0.102,0.114,0.4,17,0.051,6.73,3,12,28,4,0.08,1,0.0,0.234,31.6,0.04,0.2
4335,Rice cereal with mixed fruit,"Rice cereal with mixed fruit, baby food, jarred",57824500,0,9,7,17.1,0,1.9,1.0,4,0,4.017,1.2,0,0.422,2.1,2.24,0.26,81.0,0.104,0.102,0.114,0.4,17,0.051,6.73,3,12,28,4,0.08,1,0.0,0.234,31.6,0.04,0.2
4336,Gerber Graduates Finger Snacks Cereal,"Gerber Graduates Finger Snacks Cereal, baby food",57830100,0,0,0,76.68,0,22.9,2.3,11,0,11.25,6.4,0,1.6,37.5,28.0,1.4,3.7,3.13,3.638,1.646,9.9,400,0.22,22.5,27,709,114,0,4.0,0,0.0,0.05,10.0,3.9,15.0
4337,Burrito,"Burrito, taco, or quesadilla with egg",58100000,0,29,4,19.15,172,93.7,1.4,244,511,1.758,10.52,85,0.328,23.0,1.88,0.194,55.84,4.216,3.045,4.299,12.52,136,0.078,2.21,17,199,134,484,1.01,88,0.36,0.11,0.2,0.95,7.0
4344,Burrito with meat,Burrito with meat,58100100,3,65,0,14.45,41,21.6,1.2,35,795,2.56,13.02,41,0.21,13.9,1.69,0.144,55.86,4.966,0.965,7.065,14.48,206,0.067,1.83,20,204,179,490,2.14,47,0.64,0.11,1.6,0.27,3.8
4345,Burrito with meat and beans,Burrito with meat and beans,58100120,1,55,0,16.85,29,18.5,2.0,30,736,1.946,11.06,39,0.195,12.4,1.68,0.15,58.28,3.65,0.979,5.867,11.56,202,0.082,1.78,24,193,199,514,1.55,44,0.39,0.1,2.1,0.25,3.7
4347,Burrito with meat and sour cream,Burrito with meat and sour cream,58100135,3,59,0,13.05,43,21.2,1.1,30,682,2.207,11.51,53,0.204,12.4,1.94,0.127,58.32,4.913,0.941,7.505,15.18,191,0.06,1.58,18,185,171,425,1.88,58,0.58,0.1,1.5,0.29,3.5
4352,Burrito with chicken,Burrito with chicken,58100200,0,59,0,16.59,56,27.7,1.3,32,868,3.828,16.89,51,0.245,17.9,1.81,0.179,52.28,3.551,1.234,6.168,12.02,241,0.069,1.6,23,251,178,574,1.42,55,0.31,0.135,0.3,0.36,3.5
4353,Burrito with chicken and beans,Burrito with chicken and beans,58100220,0,52,0,18.0,34,21.0,2.1,28,762,2.452,12.59,43,0.209,14.1,1.73,0.166,56.9,2.917,1.098,5.372,10.23,217,0.085,1.67,26,213,200,553,1.19,48,0.22,0.11,1.6,0.28,3.6
4354,Burrito with chicken and sour cream,Burrito with chicken and sour cream,58100235,0,53,0,14.6,56,26.3,1.1,27,724,3.209,14.5,62,0.232,15.5,2.08,0.153,55.72,3.724,1.162,6.826,13.23,218,0.06,1.34,21,222,169,484,1.24,67,0.29,0.12,0.4,0.36,3.1
4358,Burrito with beans and rice,"Burrito with beans and rice, meatless",58100300,0,43,0,19.68,16,14.9,2.6,23,636,1.38,8.8,35,0.171,10.8,1.56,0.155,61.04,2.272,0.934,4.449,8.29,186,0.095,1.69,27,174,206,502,0.97,39,0.14,0.09,2.5,0.21,3.4
4359,Burrito with beans,"Burrito with beans, meatless",58100320,0,46,0,19.1,17,15.7,2.7,25,680,1.373,9.22,38,0.181,11.0,1.66,0.155,60.53,2.421,0.992,4.748,8.83,198,0.097,1.73,28,183,218,536,1.0,41,0.16,0.09,2.6,0.22,3.7
4362,Chilaquiles,"Chilaquiles, tortilla casserole with salsa, cheese, and egg",58100360,41,189,5,24.15,78,47.8,2.9,165,1017,0.833,8.63,55,0.156,9.3,2.42,0.081,47.77,5.821,3.899,6.208,17.41,159,0.085,1.08,39,196,236,365,1.34,72,0.21,0.146,6.5,1.15,11.4
4364,Enchilada,"Enchilada, no sauce",58100500,0,159,0,10.59,26,28.0,2.4,54,1544,1.232,9.15,13,0.127,7.6,2.05,0.384,71.66,2.674,1.291,2.624,7.24,87,0.093,1.34,26,142,217,261,2.49,26,0.5,0.175,9.1,0.7,4.6
4365,Enchilada with meat and beans,"Enchilada with meat and beans, red-chile or enchilada sauce",58100520,0,147,0,12.17,15,20.1,2.8,50,1429,0.96,6.57,12,0.105,5.7,1.99,0.361,73.99,2.069,1.251,2.079,5.86,85,0.095,1.17,28,126,233,271,1.49,24,0.26,0.154,9.3,0.65,4.5
4367,Enchilada with meat,"Enchilada with meat, red-chile or enchilada sauce",58100530,0,159,0,10.59,26,28.0,2.4,54,1544,1.232,9.15,13,0.127,7.6,2.05,0.384,71.66,2.674,1.291,2.624,7.24,87,0.093,1.34,26,142,217,261,2.49,26,0.5,0.175,9.1,0.7,4.6
4369,Enchilada with chicken and beans,"Enchilada with chicken and beans, red-chile or enchilada sauce",58100620,0,147,0,12.16,16,16.6,2.8,50,1428,1.409,6.22,12,0.096,5.5,1.99,0.36,75.03,1.802,1.296,1.761,5.25,85,0.088,0.9,28,127,234,267,0.72,24,0.08,0.151,9.3,0.67,4.3
4371,Enchilada with chicken,"Enchilada with chicken, red-chile or enchilada sauce",58100630,0,159,0,10.58,28,20.4,2.4,54,1542,2.202,8.4,14,0.108,7.2,2.05,0.383,73.91,2.097,1.388,1.937,5.91,87,0.077,0.78,26,143,220,252,0.82,27,0.12,0.17,9.1,0.75,4.3
4373,Enchilada with beans,"Enchilada with beans, meatless, red-chile or enchilada sauce",58100720,0,137,0,13.53,5,13.3,3.2,46,1330,0.726,4.34,11,0.086,4.0,1.94,0.341,76.0,1.548,1.216,1.609,4.68,82,0.097,1.01,30,113,246,279,0.63,22,0.04,0.135,9.6,0.61,4.4
4377,Taco or tostada with meat,Taco or tostada with meat,58101320,13,200,23,19.23,30,31.8,2.7,88,3719,2.178,10.47,27,0.126,9.2,2.27,0.082,53.68,5.015,2.474,5.189,14.42,101,0.095,1.42,35,158,272,536,2.34,45,0.72,0.22,2.9,1.22,8.3
4379,Taco or tostada with meat and sour cream,Taco or tostada with meat and sour cream,58101325,11,177,20,17.33,34,30.4,2.3,77,3217,1.898,9.42,41,0.134,8.5,2.48,0.074,55.89,5.027,2.26,6.01,15.38,103,0.084,1.24,32,148,254,469,2.08,57,0.65,0.197,2.6,1.11,7.4
4380,Soft taco with meat,Soft taco with meat,58101345,10,176,18,20.38,26,24.4,2.1,58,3283,3.044,10.69,23,0.191,14.8,2.96,0.193,55.74,3.543,1.795,4.065,10.81,118,0.095,2.15,21,161,233,658,1.91,39,0.63,0.171,2.5,0.93,8.0
4382,Soft taco with meat and sour cream,Soft taco with meat and sour cream,58101350,9,158,16,18.54,31,24.0,1.9,52,2885,2.688,9.73,37,0.191,13.5,3.06,0.172,57.47,3.732,1.685,4.937,12.1,118,0.086,1.9,20,151,222,582,1.72,51,0.58,0.156,2.4,0.87,7.2
4384,Soft taco with chicken,Soft taco with chicken,58101450,12,151,19,21.24,38,24.9,2.0,61,1133,3.992,12.52,28,0.206,17.6,2.32,0.217,54.36,2.864,2.128,3.412,9.69,127,0.08,1.82,21,189,195,648,1.0,42,0.18,0.145,1.1,0.86,8.0
4386,Soft taco with chicken and sour cream,Soft taco with chicken and sour cream,58101460,10,132,17,18.79,41,24.1,1.7,53,966,3.417,11.03,42,0.201,15.6,2.48,0.188,57.12,3.119,1.932,4.405,11.12,123,0.071,1.56,19,172,185,557,0.9,54,0.19,0.13,1.1,0.79,7.1
4387,Taco or tostada with chicken,Taco or tostada with chicken,58101520,15,177,26,20.39,44,34.1,2.6,98,1330,3.195,12.75,33,0.136,11.8,1.45,0.095,50.96,4.529,3.011,4.684,13.9,111,0.078,0.94,38,194,237,516,1.39,49,0.21,0.201,1.3,1.2,8.6
4388,Taco or tostada with chicken and sour cream,Taco or tostada with chicken and sour cream,58101525,12,152,22,17.73,47,31.6,2.2,82,1105,2.672,11.01,48,0.141,10.5,1.78,0.082,54.69,4.54,2.638,5.605,14.82,109,0.068,0.8,33,174,218,434,1.21,62,0.21,0.174,1.2,1.06,7.4
4389,Taco or tostada with fish,Taco or tostada with fish,58101540,15,177,26,20.39,26,37.5,2.6,97,1322,1.26,10.09,31,0.096,12.8,1.47,0.084,55.62,3.704,2.768,4.208,12.04,109,0.066,0.78,38,223,238,447,1.01,47,0.79,0.166,1.7,1.27,8.5
4390,Soft taco with fish,Soft taco with fish,58101555,12,150,19,21.23,23,27.8,2.0,61,1128,2.336,10.24,26,0.172,18.4,2.33,0.208,58.33,2.168,1.925,3.011,8.12,125,0.069,1.67,21,214,196,589,0.68,40,0.67,0.115,1.4,0.92,8.0
4391,Soft taco with beans,Soft taco with beans,58101610,0,46,0,21.33,6,15.8,3.1,38,781,1.502,6.29,18,0.142,10.7,1.83,0.171,65.21,1.201,0.974,2.192,5.12,98,0.105,1.79,28,133,240,507,0.68,22,0.06,0.091,3.1,0.25,4.5
4392,Soft taco with beans and sour cream,Soft taco with beans and sour cream,58101615,0,44,0,19.55,11,16.2,2.8,35,698,1.352,5.88,29,0.145,9.9,2.0,0.155,66.04,1.563,0.955,3.039,6.64,98,0.096,1.61,26,127,227,456,0.64,33,0.08,0.086,2.9,0.26,4.2
4393,Soft taco with meat and beans,Soft taco with meat and beans,58101620,5,103,8,20.99,15,19.6,2.7,47,1883,2.185,8.25,20,0.164,12.5,2.34,0.181,60.92,2.234,1.338,3.023,7.64,107,0.101,1.96,25,146,238,575,1.22,29,0.31,0.127,2.9,0.55,6.0
4394,Soft taco with chicken and beans,Soft taco with chicken and beans,58101625,5,89,8,21.29,19,19.5,2.6,48,925,2.516,8.82,22,0.168,13.5,2.03,0.19,60.79,1.878,1.444,2.69,6.98,110,0.095,1.8,25,156,221,564,0.81,30,0.11,0.113,2.3,0.5,6.0
4397,Taco or tostada with beans,Taco or tostada with beans,58101720,1,52,2,20.79,6,20.8,3.7,59,870,0.7,5.74,20,0.089,6.1,1.21,0.086,64.2,2.102,1.421,2.887,7.36,84,0.107,1.22,40,130,272,405,0.9,24,0.07,0.121,3.5,0.4,4.5
4398,Taco or tostada with beans and sour cream,Taco or tostada with beans and sour cream,58101725,1,49,2,18.9,12,20.6,3.2,53,768,0.629,5.36,32,0.098,5.8,1.47,0.078,65.24,2.394,1.348,3.737,8.77,86,0.097,1.08,36,124,255,361,0.83,36,0.08,0.112,3.2,0.4,4.1
4399,Taco or tostada with meat and beans,Taco or tostada with meat and beans,58101730,6,117,11,20.2,16,25.7,3.2,72,2113,1.346,7.82,23,0.105,7.5,1.68,0.084,59.48,3.378,1.885,3.9,10.46,92,0.102,1.31,38,143,273,464,1.53,33,0.35,0.165,3.3,0.76,6.2
4401,Taco or tostada with chicken and beans,Taco or tostada with chicken and beans,58101735,6,102,12,20.63,21,26.0,3.2,75,1052,1.684,8.51,25,0.107,8.4,1.31,0.089,58.97,3.061,2.049,3.597,9.95,95,0.096,1.11,39,155,258,448,1.09,34,0.12,0.153,2.6,0.72,6.1
4404,Ground beef with tomato sauce and taco seasonings on a cornbread crust,Ground beef with tomato sauce and taco seasonings on a cornbread crust,58101800,12,144,14,20.49,38,33.2,2.6,135,817,2.354,9.57,18,0.163,8.6,7.02,0.294,59.68,3.829,0.7,2.709,8.12,53,0.07,1.61,18,203,215,542,1.9,30,0.74,0.185,4.6,0.46,3.1
4405,Mexican casserole made with ground beef,"Mexican casserole made with ground beef, beans, tomato sauce, cheese, taco seasonings, and corn chips",58101820,11,122,24,17.44,33,35.8,3.1,86,2069,2.038,13.3,20,0.128,9.7,1.13,0.075,54.88,4.243,2.823,4.041,12.67,100,0.135,1.9,36,170,308,328,2.67,31,0.81,0.206,1.8,1.59,5.7
4407,Taco or tostada salad with meat,Taco or tostada salad with meat,58101930,20,173,14,16.4,15,20.0,2.9,117,276,1.846,7.49,15,0.126,9.2,1.8,0.138,65.24,3.662,1.795,2.893,9.34,85,0.105,1.9,20,121,223,328,1.25,30,0.38,0.118,3.1,0.85,13.0
4408,Taco or tostada salad with chicken,Taco or tostada salad with chicken,58101935,20,170,14,16.21,19,18.8,2.8,116,272,2.218,7.86,15,0.128,9.7,1.78,0.14,66.42,3.073,1.839,2.29,8.04,83,0.103,1.67,21,127,221,322,0.7,31,0.1,0.105,3.1,0.88,12.7
4409,Taco or tostada salad,"Taco or tostada salad, meatless",58101940,14,126,2,19.21,5,13.8,3.7,116,279,1.266,5.31,14,0.11,6.8,1.84,0.159,66.6,2.777,1.749,2.136,7.37,88,0.124,1.88,23,115,231,275,0.58,26,0.05,0.076,3.2,0.83,13.0
4410,Taco or tostada salad with meat and sour cream,Taco or tostada salad with meat and sour cream,58101945,17,154,12,14.93,21,19.9,2.5,103,241,1.626,6.86,28,0.131,8.5,2.0,0.123,66.22,3.779,1.671,3.799,10.59,87,0.094,1.67,19,115,211,291,1.14,42,0.36,0.108,2.9,0.79,11.6
4411,Taco or tostada salad with chicken and sour cream,Taco or tostada salad with chicken and sour cream,58101950,17,152,12,14.78,24,18.9,2.5,102,239,1.955,7.19,28,0.133,9.0,1.98,0.125,67.24,3.261,1.71,3.261,9.44,85,0.092,1.47,19,121,209,286,0.66,42,0.11,0.097,2.8,0.82,11.3
4413,Tamale with meat,Tamale with meat,58103120,0,3,1,14.8,40,24.5,1.2,5,0,2.277,8.63,2,0.074,8.3,0.4,0.056,61.27,5.994,1.837,4.946,13.69,52,0.063,0.54,24,113,128,462,0.79,2,0.1,0.152,0.6,0.22,0.1
4414,Tamale with chicken,Tamale with chicken,58103130,0,3,1,14.8,40,24.5,1.2,5,0,2.277,8.63,2,0.074,8.3,0.4,0.056,61.27,5.994,1.837,4.946,13.69,52,0.063,0.54,24,113,128,462,0.79,2,0.1,0.152,0.6,0.22,0.1
4417,Tamale casserole with meat,Tamale casserole with meat,58103310,2,66,3,15.47,18,19.6,1.7,39,533,1.838,6.33,1,0.092,5.9,2.03,0.175,68.78,3.473,0.959,2.88,7.97,38,0.085,0.85,23,82,191,360,1.27,6,0.36,0.188,5.9,0.31,1.9
