,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
420,Gelato,"Gelato, vanilla",13110460,1,32,1,22.29,92,26.0,0.0,34,0,0.082,3.5,179,0.167,3.5,20.65,0.041,57.2,4.46,0.68,10.329,16.2,117,0.008,0.34,11,105,157,61,0.47,182,0.39,0.045,0.0,0.51,1.3
422,Ice cream bar,"Ice cream bar, vanilla",13120050,0,5,0,37.12,16,45.0,1.1,0,0,0.548,2.11,35,0.069,4.0,21.05,0.043,35.48,1.173,2.208,17.895,25.26,63,0.031,0.0,11,57,71,84,0.32,35,0.09,0.106,0.0,2.25,22.3
424,Ice cream candy bar,Ice cream candy bar,13120110,0,44,0,30.9,1,29.7,0.6,0,0,0.96,4.4,44,0.18,2.4,30.0,0.04,43.1,4.977,1.469,12.658,20.2,252,0.128,0.72,29,114,238,92,0.63,48,0.38,0.22,0.7,0.42,1.3
426,Ice cream sandwich,"Ice cream sandwich, vanilla",13120500,0,14,0,35.88,34,23.1,1.4,3,0,0.802,4.28,88,0.247,2.8,25.27,0.082,46.88,3.443,1.377,6.153,11.8,104,0.133,1.07,24,112,202,205,0.79,89,0.32,0.049,0.4,0.4,0.8
428,Ice cream cookie sandwich,Ice cream cookie sandwich,13120550,0,10,0,43.35,24,16.5,1.7,13,0,0.956,4.61,64,0.215,3.7,26.45,0.141,36.86,4.073,2.787,6.417,14.11,70,0.104,1.5,22,86,170,232,0.64,65,0.21,0.036,0.3,0.83,2.0
429,Ice cream cone,"Ice cream cone, scooped, vanilla",13120730,0,18,0,25.82,42,25.3,0.8,1,0,0.288,3.68,111,0.245,1.9,20.61,0.049,58.77,2.924,0.564,6.567,10.84,124,0.03,0.23,14,105,196,87,0.69,113,0.37,0.047,0.6,0.32,0.4
440,Ice cream soda,"Ice cream soda, flavors other than chocolate",13120800,0,5,0,14.02,12,7.1,0.2,0,0,0.031,0.92,31,0.063,0.5,13.4,0.011,81.85,0.781,0.119,1.787,2.9,37,0.011,0.06,4,28,53,31,0.23,31,0.1,0.013,0.2,0.08,0.1
442,Ice cream sundae,"Ice cream sundae, NFS",13121000,0,16,0,31.92,36,21.2,1.1,1,0,0.144,3.72,98,0.205,1.9,23.89,0.039,52.1,3.322,0.442,6.579,11.17,109,0.095,0.36,21,102,215,138,0.71,99,0.31,0.041,0.5,0.83,0.9
444,Banana split,Banana split,13121120,6,18,0,32.53,24,17.2,1.3,6,0,0.254,2.53,66,0.148,1.5,23.29,0.032,57.12,1.953,0.296,4.121,6.9,74,0.062,0.24,18,69,220,98,0.45,68,0.21,0.117,3.6,0.42,0.6
448,Light ice cream,"Light ice cream, NFS",13130100,0,13,0,25.44,27,24.5,0.2,0,0,0.105,4.38,106,0.188,2.0,14.29,0.041,62.68,1.568,0.48,3.488,6.14,148,0.024,0.19,12,89,202,85,0.52,107,0.5,0.037,1.0,0.2,1.6
451,Soft serve,"Soft serve, blended with candy or cookies, from fast food",13130700,0,5,0,26.18,16,19.5,0.2,0,0,0.202,4.0,28,0.236,3.8,22.78,0.05,62.82,1.693,0.323,3.194,6.06,132,0.037,0.44,16,114,203,64,0.52,28,0.59,0.056,0.8,0.08,2.0
452,Light ice cream sandwich,"Light ice cream sandwich, vanilla",13135000,0,10,0,37.26,21,22.0,1.0,3,0,0.793,4.93,80,0.208,2.9,20.08,0.082,48.14,2.392,1.398,3.676,8.15,119,0.134,1.14,22,100,204,209,0.66,81,0.39,0.04,0.8,0.33,1.8
454,Light ice cream bar,"Light ice cream bar, vanilla",13140000,0,10,0,18.76,20,18.1,0.1,0,0,0.077,3.23,78,0.139,1.4,10.54,0.03,60.36,1.845,0.53,13.057,16.65,110,0.019,0.16,9,66,149,64,0.39,79,0.36,0.027,0.8,0.16,1.2
457,Creamsicle,Creamsicle,13140700,0,10,2,32.75,8,20.4,0.0,2,0,0.113,1.54,92,0.206,1.8,18.46,0.045,61.77,0.819,0.137,1.813,3.08,62,0.02,0.0,12,84,174,46,0.66,93,0.36,0.038,13.8,0.09,0.3
459,Fudgesicle,Fudgesicle,13140900,0,0,0,29.99,1,8.2,1.0,1,0,0.122,2.56,0,0.163,1.3,17.47,0.049,62.68,0.584,0.138,2.696,3.67,162,0.077,1.11,19,112,177,104,0.39,0,0.05,0.04,0.0,0.21,0.1
460,Light ice cream cone,"Light ice cream cone, vanilla, prepackaged",13142100,0,10,0,34.23,22,22.8,0.7,2,0,1.135,5.41,85,0.209,2.5,16.4,0.1,51.65,2.409,0.865,3.29,7.3,128,0.082,0.8,21,99,212,133,0.63,86,0.4,0.051,0.8,0.45,1.6
462,Sherbet,"Sherbet, all flavors",13150000,0,1,5,30.4,1,7.7,1.3,7,0,0.063,1.1,12,0.097,1.5,24.32,0.027,66.1,0.53,0.08,1.16,2.0,54,0.028,0.14,8,40,96,46,0.48,12,0.13,0.023,2.3,0.01,0.0
464,Pudding,"Pudding, chocolate, NFS",13200110,0,0,0,23.01,1,9.5,0.0,1,0,0.123,2.09,14,0.072,0.0,17.17,0.024,69.46,2.731,0.105,1.263,4.6,51,0.092,1.27,18,56,184,152,0.34,14,0.09,0.018,0.3,0.31,0.6
467,Custard,Custard,13210300,0,3,2,10.96,73,53.3,0.0,89,0,0.107,5.11,79,0.197,7.1,10.93,0.043,79.58,1.016,0.395,1.56,3.43,119,0.014,0.31,13,124,160,86,0.6,79,0.39,0.068,0.0,0.21,0.2
468,Flan,Flan,13210350,0,4,2,28.18,102,66.1,0.0,125,0,0.078,5.27,60,0.212,8.5,28.14,0.019,60.68,1.646,0.554,2.222,4.83,97,0.028,0.51,11,113,130,167,0.57,60,0.2,0.052,0.4,0.31,0.2
469,Creme brulee,Creme brulee,13210370,0,3,1,17.87,41,33.1,0.0,45,0,0.103,4.08,66,0.163,4.5,17.88,0.041,74.55,0.706,0.23,1.309,2.66,116,0.008,0.16,12,109,151,75,0.49,66,0.34,0.054,0.0,0.12,0.2
471,Firni,"Firni, Indian pudding",13210450,0,6,0,25.17,9,11.5,0.3,4,0,0.584,3.58,24,0.122,3.4,15.66,0.087,67.46,0.874,0.244,1.491,3.1,100,0.037,0.51,14,95,136,30,0.47,24,0.23,0.058,0.0,0.25,0.3
482,Banana pudding,Banana pudding,13241000,6,7,1,27.94,35,27.5,0.9,48,0,0.55,2.68,19,0.129,4.0,18.79,0.052,64.45,1.998,0.623,1.208,4.23,42,0.045,0.5,12,58,158,129,0.28,19,0.17,0.132,2.3,0.26,1.1
483,Mousse,Mousse,13250000,3,26,3,16.25,120,73.0,0.6,93,0,0.152,4.36,155,0.194,6.8,15.11,0.046,63.61,4.414,0.839,8.673,14.96,103,0.07,0.54,21,122,154,35,0.66,158,0.37,0.067,0.2,0.46,1.5
